name,version,license_match,old_license,new_license,license_changed,change_kind,old_link,new_link,link_changed,changed_fields,notes
aiohttp,3.13.5,True,Apache License 2.0,"Apache-2.0, MIT",True,partial,https://github.com/aio-libs/aiohttp/blob/v3.13.5/LICENSE.txt,https://github.com/aio-libs/aiohttp/blob/v3.13.5/LICENSE.txt,False,license,"license-changed[partial]: Apache License 2.0 -> Apache-2.0, MIT"
av,17.0.0,False,BSD-2-Clause,BSD-3-Clause,True,variant,https://github.com/PyAV-Org/PyAV/blob/v17.0.0/LICENSE.txt,https://github.com/PyAV-Org/PyAV/blob/v17.0.0/LICENSE.txt,False,license,license-changed[variant]: BSD-2-Clause -> BSD-3-Clause
certifi,2026.2.25,True,MPL-2.0,MPL-2.0,False,,https://github.com/certifi/python-certifi/blob/2026.2.25/LICENSE,https://github.com/certifi/python-certifi/blob/2026.2.25/LICENSE,False,,link-broken-unresolved
chardet,5.2.0,False,LGPLv2+,LGPL-2.0-or-later,True,variant,https://github.com/chardet/chardet/blob/5.2.0/LICENSE,https://github.com/chardet/chardet/blob/5.2.0/LICENSE,False,license,license-changed[variant]: LGPLv2+ -> LGPL-2.0-or-later
click,8.3.2,True,BSD,BSD,False,,https://github.com/pallets/click/blob/8.3.2/README.rst,https://github.com/pallets/click/blob/8.3.2/LICENSE.txt,True,license_link,link-fixed
cuda-bindings,12.9.4,False,Apache-2.0,Apache-2.0,False,,https://github.com/NVIDIA/cuda-python/blob/v12.9.4/LICENSE,https://github.com/NVIDIA/cuda-python/blob/v12.9.4/LICENSE.md,True,license_link,license-unverified; link-fixed
cuda-pathfinder,1.5.4,True,Apache-2.0,Apache-2.0,False,,https://github.com/NVIDIA/cuda-python/blob/v1.5.4/LICENSE,https://github.com/NVIDIA/cuda-python/blob/v1.5.4/LICENSE,False,,link-broken-unresolved
cycler,0.12.1,False,BSD-2-Clause,BSD-3-Clause,True,variant,https://github.com/matplotlib/cycler/blob/v0.12.1/LICENSE,https://github.com/matplotlib/cycler/blob/v0.12.1/LICENSE,False,license,license-changed[variant]: BSD-2-Clause -> BSD-3-Clause
datasketch,1.9.0,False,BSD-3-Clause,MIT,True,cross-family,https://github.com/ekzhu/datasketch/blob/v1.9.0/LICENSE,https://github.com/ekzhu/datasketch/blob/v1.9.0/LICENSE,False,license,license-changed[cross-family]: BSD-3-Clause -> MIT
dbus-python,1.3.2,True,MIT,MIT,False,,https://gitlab.freedesktop.org/dbus/dbus-python/-/blob/1.3.2/COPYING,https://gitlab.freedesktop.org/dbus/dbus-python/-/blob/1.3.2/COPYING,False,,link-broken-non-github
decorator,5.2.1,False,BSD-2-Clause,BSD-3-Clause,True,variant,https://github.com/micheles/decorator/blob/5.2.1/LICENSE.txt,https://github.com/micheles/decorator/blob/5.2.1/LICENSE.txt,False,license,license-changed[variant]: BSD-2-Clause -> BSD-3-Clause
ethtool,0.15,False,GPL-2.0-or-later,GPL-2.0,True,variant,https://pypi.org/project/ethtool/0.15/,https://pypi.org/project/ethtool/0.15/,False,license,license-changed[variant]: GPL-2.0-or-later -> GPL-2.0
faster-whisper,1.2.1,True,MIT License,MIT License,False,,https://github.com/ggerganov/whisper.cpp/blob/1.2.1/LICENSE,https://github.com/ggerganov/whisper.cpp/blob/v1.2.1/LICENSE,True,license_link,link-fixed
ffmpeg-python,0.2.0,False,MIT License,Apache-2.0,True,cross-family,https://github.com/kkroening/ffmpeg-python/blob/0.2.0/LICENSE,https://github.com/kkroening/ffmpeg-python/blob/0.2.0/LICENSE,False,license,license-changed[cross-family]: MIT License -> Apache-2.0
fsspec,2026.3.0,False,Apache 2.0,BSD-3-Clause,True,cross-family,https://github.com/fsspec/filesystem_spec/blob/2026.3.0/LICENSE,https://github.com/fsspec/filesystem_spec/blob/2026.3.0/LICENSE,False,license,license-changed[cross-family]: Apache 2.0 -> BSD-3-Clause
googleapis-common-protos,1.75.0,True,Apache-2.0,Apache-2.0,False,,https://github.com/googleapis/python-api-common-protos/blob/v1.75.0/LICENSE,https://github.com/googleapis/python-api-common-protos/blob/v1.75.0/LICENSE,False,,link-broken-unresolved
gpg,1.17.1,False,LGPL-2.1-or-later,LGPL-2.0-or-later,True,variant,https://dev.gnupg.org/source/gpgme/browse/master/COPYING.LESSER,https://dev.gnupg.org/source/gpgme/browse/master/COPYING.LESSER,False,license,license-changed[variant]: LGPL-2.1-or-later -> LGPL-2.0-or-later; link-broken-non-github
greenlet,3.4.0,True,MIT License,"MIT, PSF-2.0",True,partial,https://github.com/python-greenlet/greenlet/blob/3.4.0/LICENSE,https://github.com/python-greenlet/greenlet/blob/3.4.0/LICENSE,False,license,"license-changed[partial]: MIT License -> MIT, PSF-2.0"
hiredis,2.3.2,False,MIT,BSD-3-Clause,True,cross-family,https://github.com/redis/hiredis-py/blob/v2.3.2/LICENSE,https://github.com/redis/hiredis-py/blob/v2.3.2/LICENSE,False,license,license-changed[cross-family]: MIT -> BSD-3-Clause
HyperPyYAML,1.2.3,False,MIT,Apache-2.0,True,cross-family,https://github.com/speechbrain/HyperPyYAML/blob/v1.2.3/LICENSE,https://github.com/speechbrain/HyperPyYAML/blob/v1.2.3/LICENSE,False,license,license-changed[cross-family]: MIT -> Apache-2.0
kneed,0.8.6,False,BSD 3-Clause,BSD 3-Clause,False,,https://github.com/arvkevi/kneed/blob/v0.8.6/LICENSE,https://github.com/arvkevi/kneed/blob/v0.8.6/LICENSE,False,,license-unverified
llvmlite,0.47.0,True,BSD-2-Clause,"Apache-2.0, BSD-2-Clause",True,partial,https://github.com/numba/llvmlite/blob/v0.47.0/LICENSE,https://github.com/numba/llvmlite/blob/v0.47.0/LICENSE,False,license,"license-changed[partial]: BSD-2-Clause -> Apache-2.0, BSD-2-Clause"
ninja,1.13.0,True,Apache-2.0,"Apache-2.0, BSD-3-Clause",True,partial,https://github.com/ninja-build/ninja/blob/v1.13.0/COPYING,https://github.com/ninja-build/ninja/blob/v1.13.0/COPYING,False,license,"license-changed[partial]: Apache-2.0 -> Apache-2.0, BSD-3-Clause"
numba,0.65.0,False,BSD-2-Clause,BSD-3-Clause,True,variant,https://github.com/numba/numba/blob/0.65.0/LICENSE,https://github.com/numba/numba/blob/0.65.0/LICENSE,False,license,license-changed[variant]: BSD-2-Clause -> BSD-3-Clause
numpy,2.4.4,True,BSD-3-Clause,"BSD-3-Clause, CC0-1.0, MIT, Zlib",True,partial,https://github.com/numpy/numpy/blob/v2.4.4/LICENSE.txt,https://github.com/numpy/numpy/blob/v2.4.4/LICENSE.txt,False,license,"license-changed[partial]: BSD-3-Clause -> BSD-3-Clause, CC0-1.0, MIT, Zlib"
nvidia-cufile-cu12,1.13.1.3,False,NVIDIA Software License,Proprietary,True,unrecognized,https://developer.download.nvidia.com/compute/cuda/redist/LICENSE,https://developer.download.nvidia.com/compute/cuda/redist/LICENSE,False,license,license-changed[unrecognized]: NVIDIA Software License -> Proprietary; link-broken-non-github
nvidia-nvshmem-cu12,3.4.5,False,NVIDIA Software License,NVIDIA Software License,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,license-unverified
opencv-contrib-python,4.10.0.84,True,Apache-2.0,Apache-2.0,False,,https://github.com/opencv/opencv-python/blob/84/LICENSE.txt,https://github.com/opencv/opencv-python/blob/84/LICENSE.txt,False,,link-unchecked
opencv-python,4.5.5.64,False,Apache-2.0,MIT,True,cross-family,https://github.com/opencv/opencv-python/blob/64/LICENSE.txt,https://github.com/opencv/opencv-python/blob/64/LICENSE.txt,False,license,license-changed[cross-family]: Apache-2.0 -> MIT
packaging,26.0,True,Apache-2.0,"Apache-2.0, BSD-2-Clause",True,partial,https://github.com/pypa/packaging/blob/26.0/LICENSE,https://github.com/pypa/packaging/blob/26.0/LICENSE,False,license,"license-changed[partial]: Apache-2.0 -> Apache-2.0, BSD-2-Clause"
