name,version,license_match,old_license,new_license,license_changed,change_kind,old_link,new_link,link_changed,changed_fields,notes
Mako,1.3.12,True,MIT,MIT,False,,https://github.com/sqlalchemy/mako/blob/rel_1_3_12/LICENSE,https://github.com/sqlalchemy/mako/blob/rel_1_3_12/LICENSE,False,,
markdown-it-py,4.0.0,True,MIT,MIT,False,,https://github.com/executablebooks/markdown-it-py/blob/v4.0.0/LICENSE,https://github.com/executablebooks/markdown-it-py/blob/v4.0.0/LICENSE,False,,
MarkupSafe,3.0.3,True,BSD-3-Clause,BSD-3-Clause,False,,https://github.com/pallets/markupsafe/blob/3.0.3/LICENSE.txt,https://github.com/pallets/markupsafe/blob/3.0.3/LICENSE.txt,False,,
matplotlib,3.10.8,True,PSF-based,PSF-based,False,,https://github.com/matplotlib/matplotlib/blob/v3.10.8/LICENSE/LICENSE,https://github.com/matplotlib/matplotlib/blob/v3.10.8/LICENSE/LICENSE,False,,
mdurl,0.1.2,True,MIT,MIT,False,,https://github.com/executablebooks/mdurl/blob/0.1.2/LICENSE,https://github.com/executablebooks/mdurl/blob/0.1.2/LICENSE,False,,
more-itertools,11.0.2,True,MIT,MIT,False,,https://github.com/more-itertools/more-itertools/blob/v11.0.2/LICENSE,https://github.com/more-itertools/more-itertools/blob/v11.0.2/LICENSE,False,,
mpmath,1.3.0,True,BSD-3-Clause,BSD-3-Clause,False,,https://github.com/fredrik-johansson/mpmath/blob/1.3.0/LICENSE,https://github.com/fredrik-johansson/mpmath/blob/1.3.0/LICENSE,False,,
msgpack,1.1.2,True,Apache-2.0,Apache-2.0,False,,https://github.com/msgpack/msgpack-python/blob/v1.1.2/COPYING,https://github.com/msgpack/msgpack-python/blob/v1.1.2/COPYING,False,,
multidict,6.7.1,True,Apache-2.0,Apache-2.0,False,,https://github.com/aio-libs/multidict/blob/v6.7.1/LICENSE,https://github.com/aio-libs/multidict/blob/v6.7.1/LICENSE,False,,
narwhals,2.19.0,True,MIT,MIT,False,,https://github.com/narwhals-dev/narwhals/blob/v2.19.0/LICENSE.md,https://github.com/narwhals-dev/narwhals/blob/v2.19.0/LICENSE.md,False,,
natasha,1.6.0,True,MIT,MIT,False,,https://github.com/natasha/natasha/blob/v1.6.0/LICENSE,https://github.com/natasha/natasha/blob/v1.6.0/LICENSE,False,,
nats-py,2.11.0,True,Apache-2.0,Apache-2.0,False,,https://github.com/nats-io/nats.py/blob/v2.11.0/LICENSE,https://github.com/nats-io/nats.py/blob/v2.11.0/LICENSE,False,,
navec,0.10.0,True,MIT,MIT,False,,https://github.com/natasha/navec/blob/v0.10.0/LICENSE,https://github.com/natasha/navec/blob/v0.10.0/LICENSE,False,,
networkx,3.6.1,True,BSD-3-Clause,BSD-3-Clause,False,,https://github.com/networkx/networkx/blob/networkx-3.6.1/LICENSE.txt,https://github.com/networkx/networkx/blob/networkx-3.6.1/LICENSE.txt,False,,
ninja,1.13.0,True,Apache-2.0,"Apache-2.0, BSD-3-Clause",True,partial,https://github.com/ninja-build/ninja/blob/v1.13.0/COPYING,https://github.com/ninja-build/ninja/blob/v1.13.0/COPYING,False,license,"license-changed[partial]: Apache-2.0 -> Apache-2.0, BSD-3-Clause"
nltk,3.9.4,True,Apache-2.0,Apache-2.0,False,,https://github.com/nltk/nltk/blob/3.9.4/LICENSE.txt,https://github.com/nltk/nltk/blob/3.9.4/LICENSE.txt,False,,
numba,0.65.0,False,BSD-2-Clause,BSD-3-Clause,True,variant,https://github.com/numba/numba/blob/0.65.0/LICENSE,https://github.com/numba/numba/blob/0.65.0/LICENSE,False,license,license-changed[variant]: BSD-2-Clause -> BSD-3-Clause
numpy,2.4.4,True,BSD-3-Clause,"BSD-3-Clause, CC0-1.0, MIT, Zlib",True,partial,https://github.com/numpy/numpy/blob/v2.4.4/LICENSE.txt,https://github.com/numpy/numpy/blob/v2.4.4/LICENSE.txt,False,license,"license-changed[partial]: BSD-3-Clause -> BSD-3-Clause, CC0-1.0, MIT, Zlib"
nvidia-cublas-cu12,12.8.4.1,True,Proprietary,Proprietary,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,
nvidia-cuda-cupti-cu12,12.8.90,True,Proprietary,Proprietary,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,
nvidia-cuda-nvrtc-cu12,12.8.93,True,Proprietary,Proprietary,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,
nvidia-cuda-runtime-cu12,12.8.90,True,Proprietary,Proprietary,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,
nvidia-cudnn-cu12,9.10.2.21,True,Proprietary,Proprietary,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,
nvidia-cufft-cu12,11.3.3.83,True,Proprietary,Proprietary,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,
nvidia-cufile-cu12,1.13.1.3,False,NVIDIA Software License,Proprietary,True,unrecognized,https://developer.download.nvidia.com/compute/cuda/redist/LICENSE,https://developer.download.nvidia.com/compute/cuda/redist/LICENSE,False,license,license-changed[unrecognized]: NVIDIA Software License -> Proprietary; link-broken-non-github
nvidia-curand-cu12,10.3.9.90,True,Proprietary,Proprietary,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,
nvidia-cusolver-cu12,11.7.3.90,True,Proprietary,Proprietary,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,
nvidia-cusparse-cu12,12.5.8.93,True,Proprietary,Proprietary,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,
nvidia-cusparselt-cu12,0.7.1,True,Proprietary,Proprietary,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,
nvidia-ml-py,13.595.45,True,BSD-3-Clause,BSD-3-Clause,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,
nvidia-nccl-cu12,2.27.5,True,Proprietary,Proprietary,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,
nvidia-nvjitlink-cu12,12.8.93,True,Proprietary,Proprietary,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,
nvidia-nvshmem-cu12,3.4.5,False,NVIDIA Software License,NVIDIA Software License,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,license-unverified
nvidia-nvtx-cu12,12.8.90,True,Proprietary,Proprietary,False,,https://docs.nvidia.com/cuda/eula/index.html,https://docs.nvidia.com/cuda/eula/index.html,False,,
omegaconf,2.3.0,True,BSD-3-Clause,BSD-3-Clause,False,,https://github.com/omry/omegaconf/blob/v2.3.0/LICENSE,https://github.com/omry/omegaconf/blob/v2.3.0/LICENSE,False,,
onnxruntime-gpu,1.24.4,True,MIT,MIT,False,,https://github.com/microsoft/onnxruntime/blob/v1.24.4/LICENSE,https://github.com/microsoft/onnxruntime/blob/v1.24.4/LICENSE,False,,
opencv-contrib-python,4.10.0.84,True,Apache-2.0,Apache-2.0,False,,https://github.com/opencv/opencv-python/blob/84/LICENSE.txt,https://github.com/opencv/opencv-python/blob/84/LICENSE.txt,False,,link-unchecked
opencv-python,4.5.5.64,False,Apache-2.0,MIT,True,cross-family,https://github.com/opencv/opencv-python/blob/64/LICENSE.txt,https://github.com/opencv/opencv-python/blob/64/LICENSE.txt,False,license,license-changed[cross-family]: Apache-2.0 -> MIT
opencv-python-headless,4.11.0.86,True,Apache-2.0,Apache-2.0,False,,https://github.com/opencv/opencv-python/blob/86/LICENSE.txt,https://github.com/opencv/opencv-python/blob/86/LICENSE.txt,False,,
opentelemetry-api,1.42.0,True,Apache-2.0,Apache-2.0,False,,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,False,,
opentelemetry-exporter-otlp,1.42.0,True,Apache-2.0,Apache-2.0,False,,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,False,,
opentelemetry-exporter-otlp-proto-common,1.42.0,True,Apache-2.0,Apache-2.0,False,,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,False,,
opentelemetry-exporter-otlp-proto-grpc,1.42.0,True,Apache-2.0,Apache-2.0,False,,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,False,,
opentelemetry-exporter-otlp-proto-http,1.42.0,True,Apache-2.0,Apache-2.0,False,,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,False,,
opentelemetry-proto,1.42.0,True,Apache-2.0,Apache-2.0,False,,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,False,,
opentelemetry-sdk,1.42.0,True,Apache-2.0,Apache-2.0,False,,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,False,,
opentelemetry-semantic-conventions,0.63b0,True,Apache-2.0,Apache-2.0,False,,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,https://github.com/open-telemetry/opentelemetry-python/blob/v1.42.0/LICENSE,False,,
optuna,4.8.0,True,MIT,MIT,False,,https://github.com/optuna/optuna/blob/v4.8.0/LICENSE,https://github.com/optuna/optuna/blob/v4.8.0/LICENSE,False,,
packageurl-python,0.17.6,True,MIT,MIT,False,,https://github.com/package-url/packageurl-python/blob/v0.17.6/mit.LICENSE,https://github.com/package-url/packageurl-python/blob/v0.17.6/mit.LICENSE,False,,
packaging,26.0,True,Apache-2.0,"Apache-2.0, BSD-2-Clause",True,partial,https://github.com/pypa/packaging/blob/26.0/LICENSE,https://github.com/pypa/packaging/blob/26.0/LICENSE,False,license,"license-changed[partial]: Apache-2.0 -> Apache-2.0, BSD-2-Clause"
pandas,3.0.2,True,BSD-3-Clause,BSD-3-Clause,False,,https://github.com/pandas-dev/pandas/blob/v3.0.2/LICENSE,https://github.com/pandas-dev/pandas/blob/v3.0.2/LICENSE,False,,
pika,1.3.2,True,BSD-3-Clause,BSD-3-Clause,False,,https://github.com/pika/pika/blob/1.3.2/LICENSE,https://github.com/pika/pika/blob/1.3.2/LICENSE,False,,
pillow,12.2.0,False,HPND,MIT,True,unrecognized,https://github.com/python-pillow/Pillow/blob/12.2.0/LICENSE,https://github.com/python-pillow/Pillow/blob/12.2.0/LICENSE,False,license,license-changed[unrecognized]: HPND -> MIT
pip,24.0,True,MIT,MIT,False,,https://github.com/pypa/pip/blob/24.0/LICENSE.txt,https://github.com/pypa/pip/blob/24.0/LICENSE.txt,False,,
pip-requirements-parser,32.0.1,True,MIT,MIT,False,,https://github.com/nexB/pip-requirements-parser/blob/v32.0.1/LICENSE,https://github.com/nexB/pip-requirements-parser/blob/v32.0.1/LICENSE,False,,
platformdirs,4.9.6,True,MIT,MIT,False,,https://github.com/platformdirs/platformdirs/blob/4.9.6/LICENSE,https://github.com/platformdirs/platformdirs/blob/4.9.6/LICENSE,False,,
plotly,6.7.0,True,MIT,MIT,False,,https://github.com/plotly/plotly.py/blob/v6.7.0/LICENSE.txt,https://github.com/plotly/plotly.py/blob/v6.7.0/LICENSE.txt,False,,
pooch,1.9.0,True,BSD-3-Clause,BSD-3-Clause,False,,https://github.com/fatiando/pooch/blob/v1.9.0/LICENSE.txt,https://github.com/fatiando/pooch/blob/v1.9.0/LICENSE.txt,False,,
primePy,1.3,True,MIT,MIT,False,,https://github.com/sjkingo/primePy/blob/v1.3/LICENSE,https://github.com/sjkingo/primePy/blob/v1.3/LICENSE,False,,link-broken-unresolved
prometheus_client,0.25.0,True,Apache-2.0,"Apache-2.0, BSD-2-Clause",True,partial,https://github.com/prometheus/client_python/blob/v0.25.0/LICENSE,https://github.com/prometheus/client_python/blob/v0.25.0/LICENSE,False,license,"license-changed[partial]: Apache-2.0 -> Apache-2.0, BSD-2-Clause"
propcache,0.4.1,False,MIT,Apache-2.0,True,cross-family,https://github.com/aio-libs/propcache/blob/v0.4.1/LICENSE,https://github.com/aio-libs/propcache/blob/v0.4.1/LICENSE,False,license,license-changed[cross-family]: MIT -> Apache-2.0
protobuf,6.33.6,True,BSD-3-Clause,BSD-3-Clause,False,,https://github.com/protocolbuffers/protobuf/blob/v6.33.6/LICENSE,https://github.com/protocolbuffers/protobuf/blob/v6.33.6/LICENSE,False,,link-broken-unresolved
psutil,7.2.2,True,BSD-3-Clause,BSD-3-Clause,False,,https://github.com/giampaolo/psutil/blob/release-7.2.2/LICENSE,https://github.com/giampaolo/psutil/blob/release-7.2.2/LICENSE,False,,
psycopg2-binary,2.9.9,False,LGPL-3.0-or-later,LGPL-3.0-or-later,False,,https://github.com/psycopg/psycopg2/blob/2.9.9/LICENSE,https://github.com/psycopg/psycopg2/blob/2.9.9/LICENSE,False,,license-unverified
py-serializable,2.1.0,False,MIT,Apache-2.0,True,cross-family,https://github.com/madpah/serializable/blob/v2.1.0/LICENSE,https://github.com/madpah/serializable/blob/v2.1.0/LICENSE,False,license,license-changed[cross-family]: MIT -> Apache-2.0
pyannote-audio,4.0.4,False,MIT,MIT,False,,https://github.com/pyannote/pyannote-audio/blob/4.0.4/LICENSE,https://github.com/pyannote/pyannote-audio/blob/4.0.4/LICENSE,False,,license-unverified
pyannote-core,6.0.1,False,MIT,MIT,False,,https://github.com/pyannote/pyannote-core/blob/6.0.1/LICENSE,https://github.com/pyannote/pyannote-core/blob/6.0.1/LICENSE,False,,license-unverified
pyannote-database,6.1.1,False,MIT,MIT,False,,https://github.com/pyannote/pyannote-database/blob/6.1.1/LICENSE,https://github.com/pyannote/pyannote-database/blob/6.1.1/LICENSE,False,,license-unverified
pyannote-metrics,4.0.0,False,MIT,MIT,False,,https://github.com/pyannote/pyannote-metrics/blob/4.0.0/LICENSE,https://github.com/pyannote/pyannote-metrics/blob/4.0.0/LICENSE,False,,license-unverified
pyannote-pipeline,4.0.0,False,MIT,MIT,False,,https://github.com/pyannote/pyannote-pipeline/blob/4.0.0/LICENSE,https://github.com/pyannote/pyannote-pipeline/blob/4.0.0/LICENSE,False,,license-unverified
pyannoteai-sdk,0.4.0,False,MIT,MIT,False,,https://pypi.org/project/pyannoteai-sdk/,https://pypi.org/project/pyannoteai-sdk/,False,,license-unverified
pybind11,3.0.3,True,BSD-3-Clause,BSD-3-Clause,False,,https://github.com/pybind/pybind11/blob/v3.0.3/LICENSE,https://github.com/pybind/pybind11/blob/v3.0.3/LICENSE,False,,
pyclipper,1.4.0,True,MIT,MIT,False,,https://github.com/fonttools/pyclipper/blob/1.4.0/LICENSE,https://github.com/fonttools/pyclipper/blob/1.4.0/LICENSE,False,,
pycparser,3.0,True,BSD-3-Clause,BSD-3-Clause,False,,https://github.com/eliben/pycparser/blob/release_v3.0/LICENSE,https://github.com/eliben/pycparser/blob/release_v3.0/LICENSE,False,,link-broken-unresolved
pydantic,2.12.5,True,MIT,MIT,False,,https://github.com/pydantic/pydantic/blob/v2.12.5/LICENSE,https://github.com/pydantic/pydantic/blob/v2.12.5/LICENSE,False,,
pydantic-settings,2.13.1,True,MIT,MIT,False,,https://github.com/pydantic/pydantic-settings/blob/v2.13.1/LICENSE,https://github.com/pydantic/pydantic-settings/blob/v2.13.1/LICENSE,False,,
pydantic_core,2.41.5,True,MIT,MIT,False,,https://github.com/pydantic/pydantic-core/blob/v2.41.5/LICENSE,https://github.com/pydantic/pydantic-core/blob/v2.41.5/LICENSE,False,,
pyfarmhash,0.4.0,True,MIT,MIT,False,,https://github.com/veelion/python-farmhash/blob/v0.4.0/LICENSE,https://github.com/veelion/python-farmhash/blob/v0.4.0/LICENSE,False,,link-broken-unresolved
Pygments,2.20.0,True,BSD-2-Clause,BSD-2-Clause,False,,https://github.com/pygments/pygments/blob/2.20.0/LICENSE,https://github.com/pygments/pygments/blob/2.20.0/LICENSE,False,,
pyinotify,0.9.6,True,MIT,MIT,False,,https://github.com/seb-m/pyinotify/blob/0.9.6/COPYING,https://github.com/seb-m/pyinotify/blob/0.9.6/COPYING,False,,
PyJWT,2.12.1,True,MIT,MIT,False,,https://github.com/jpadilla/pyjwt/blob/2.12.1/LICENSE,https://github.com/jpadilla/pyjwt/blob/2.12.1/LICENSE,False,,
pymongo,4.16.0,True,Apache-2.0,Apache-2.0,False,,https://github.com/mongodb/mongo-python-driver/blob/4.16.0/LICENSE,https://github.com/mongodb/mongo-python-driver/blob/4.16.0/LICENSE,False,,
pymorphy2,0.9.1,True,MIT,MIT,False,,https://github.com/pymorphy2/pymorphy2/blob/0.9.1/AUTHORS.rst,https://github.com/pymorphy2/pymorphy2/blob/0.9.1/AUTHORS.rst,False,,
pymorphy2-dicts-ru,2.4.417127.4579844,True,MIT,MIT,False,,https://github.com/pymorphy2/pymorphy2-dicts/blob/master/README.rst,https://github.com/pymorphy2/pymorphy2-dicts/blob/master/README.rst,False,,
Pympler,1.1,True,Apache-2.0,Apache-2.0,False,,https://github.com/pympler/pympler/blob/v1.1/LICENSE,https://github.com/pympler/pympler/blob/1.1/LICENSE,True,license_link,link-fixed
pyparsing,3.3.2,True,MIT,MIT,False,,https://github.com/pyparsing/pyparsing/blob/3.3.2/LICENSE,https://github.com/pyparsing/pyparsing/blob/3.3.2/LICENSE,False,,
PySocks,1.7.1,True,BSD-3-Clause,BSD-3-Clause,False,,https://github.com/Anorov/PySocks/blob/1.7.0/LICENSE,https://github.com/Anorov/PySocks/blob/1.7.0/LICENSE,False,,
pytesseract,0.3.13,True,Apache-2.0,Apache-2.0,False,,https://github.com/madmaze/pytesseract/blob/v0.3.13/LICENSE,https://github.com/madmaze/pytesseract/blob/v0.3.13/LICENSE,False,,
python-bidi,0.6.10,False,LGPL-3.0-or-later,LGPL-3.0-or-later,False,,https://github.com/MeirKriheli/python-bidi/blob/v0.6.10/COPYING,https://github.com/MeirKriheli/python-bidi/blob/v0.6.10/COPYING,False,,license-unverified
python-consul,1.1.0,True,MIT,MIT,False,,https://github.com/python-consul/python-consul/blob/v1.1.0/LICENSE,https://github.com/python-consul/python-consul/blob/v1.1.0/LICENSE,False,,
python-dateutil,2.9.0.post0,True,Apache-2.0,"Apache-2.0, BSD-3-Clause",True,partial,https://github.com/dateutil/dateutil/blob/2.9.0/LICENSE,https://github.com/dateutil/dateutil/blob/2.9.0/LICENSE,False,license,"license-changed[partial]: Apache-2.0 -> Apache-2.0, BSD-3-Clause"
python-dotenv,1.2.2,True,BSD-3-Clause,BSD-3-Clause,False,,https://github.com/theskumar/python-dotenv/blob/v1.2.2/LICENSE,https://github.com/theskumar/python-dotenv/blob/v1.2.2/LICENSE,False,,
python-iso639,2026.1.31,False,MIT,Apache-2.0,True,cross-family,https://github.com/jacksonllee/iso639/blob/v2026.1.31/LICENSE.txt,https://github.com/jacksonllee/iso639/blob/v2026.1.31/LICENSE.txt,False,license,license-changed[cross-family]: MIT -> Apache-2.0
python-multipart,0.0.26,True,Apache-2.0,Apache-2.0,False,,https://github.com/Kludex/python-multipart/blob/0.0.26/LICENSE.txt,https://github.com/Kludex/python-multipart/blob/0.0.26/LICENSE.txt,False,,
pytorch-lightning,2.6.1,True,Apache-2.0,Apache-2.0,False,,https://github.com/Lightning-AI/pytorch-lightning/blob/2.6.1/LICENSE,https://github.com/Lightning-AI/pytorch-lightning/blob/2.6.1/LICENSE,False,,
pytorch-metric-learning,2.9.0,True,MIT,MIT,False,,https://github.com/KevinMusgrave/pytorch-metric-learning/blob/v2.9.0/LICENSE,https://github.com/KevinMusgrave/pytorch-metric-learning/blob/v2.9.0/LICENSE,False,,
pytz,2026.2,True,MIT,MIT,False,,https://github.com/stub42/pytz/blob/release_2026.2/LICENSE.txt,https://github.com/stub42/pytz/blob/release_2026.2/LICENSE.txt,False,,
PyYAML,6.0.3,True,MIT,MIT,False,,https://github.com/yaml/pyyaml/blob/6.0.3/LICENSE,https://github.com/yaml/pyyaml/blob/6.0.3/LICENSE,False,,
ray,2.54.1,True,Apache-2.0,Apache-2.0,False,,https://github.com/ray-project/ray/blob/ray-2.54.1/LICENSE,https://github.com/ray-project/ray/blob/ray-2.54.1/LICENSE,False,,
razdel,0.5.0,True,MIT,MIT,False,,https://github.com/natasha/razdel/blob/master/LICENSE,https://github.com/natasha/razdel/blob/master/LICENSE,False,,
